Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,dc1-bl1,Ethernet1,spine,dc1-spine1,Ethernet4,True
l3leaf,dc1-bl1,Ethernet2,spine,dc1-spine2,Ethernet4,True
l3leaf,dc1-bl1,Ethernet4,l3leaf,dc2-bl1,Ethernet4,True
l3leaf,dc1-bl2,Ethernet1,spine,dc1-spine1,Ethernet5,True
l3leaf,dc1-bl2,Ethernet2,spine,dc1-spine2,Ethernet5,True
l3leaf,dc1-bl2,Ethernet4,l3leaf,dc2-bl2,Ethernet4,True
l3leaf,dc1-leaf1,Ethernet1,spine,dc1-spine1,Ethernet1,True
l3leaf,dc1-leaf1,Ethernet2,spine,dc1-spine2,Ethernet1,True
l3leaf,dc1-leaf1,Ethernet3,server,dc1-server1,eth1,True
l3leaf,dc1-leaf2a,Ethernet1,spine,dc1-spine1,Ethernet2,True
l3leaf,dc1-leaf2a,Ethernet2,spine,dc1-spine2,Ethernet2,True
l3leaf,dc1-leaf2a,Ethernet3,mlag_peer,dc1-leaf2b,Ethernet3,True
l3leaf,dc1-leaf2a,Ethernet4,l2leaf,dc1-leaf2c,Ethernet1,True
l3leaf,dc1-leaf2a,Ethernet5,server,dc1-server2,eth1,True
l3leaf,dc1-leaf2b,Ethernet1,spine,dc1-spine1,Ethernet3,True
l3leaf,dc1-leaf2b,Ethernet2,spine,dc1-spine2,Ethernet3,True
l3leaf,dc1-leaf2b,Ethernet3,mlag_peer,dc1-leaf2a,Ethernet3,True
l3leaf,dc1-leaf2b,Ethernet4,l2leaf,dc1-leaf2c,Ethernet2,True
l3leaf,dc1-leaf2b,Ethernet5,server,dc1-server2,eth2,True
l2leaf,dc1-leaf2c,Ethernet1,l3leaf,dc1-leaf2a,Ethernet4,True
l2leaf,dc1-leaf2c,Ethernet2,l3leaf,dc1-leaf2b,Ethernet4,True
l2leaf,dc1-leaf2c,Ethernet3,server,dc1-server2,eth3,True
spine,dc1-spine1,Ethernet1,l3leaf,dc1-leaf1,Ethernet1,True
spine,dc1-spine1,Ethernet2,l3leaf,dc1-leaf2a,Ethernet1,True
spine,dc1-spine1,Ethernet3,l3leaf,dc1-leaf2b,Ethernet1,True
spine,dc1-spine1,Ethernet4,l3leaf,dc1-bl1,Ethernet1,True
spine,dc1-spine1,Ethernet5,l3leaf,dc1-bl2,Ethernet1,True
spine,dc1-spine2,Ethernet1,l3leaf,dc1-leaf1,Ethernet2,True
spine,dc1-spine2,Ethernet2,l3leaf,dc1-leaf2a,Ethernet2,True
spine,dc1-spine2,Ethernet3,l3leaf,dc1-leaf2b,Ethernet2,True
spine,dc1-spine2,Ethernet4,l3leaf,dc1-bl1,Ethernet2,True
spine,dc1-spine2,Ethernet5,l3leaf,dc1-bl2,Ethernet2,True
l3leaf,dc2-bl1,Ethernet1,spine,dc2-spine1,Ethernet4,True
l3leaf,dc2-bl1,Ethernet2,spine,dc2-spine2,Ethernet4,True
l3leaf,dc2-bl1,Ethernet4,l3leaf,dc1-bl1,Ethernet4,True
l3leaf,dc2-bl2,Ethernet1,spine,dc2-spine1,Ethernet5,True
l3leaf,dc2-bl2,Ethernet2,spine,dc2-spine2,Ethernet5,True
l3leaf,dc2-bl2,Ethernet4,l3leaf,dc1-bl2,Ethernet4,True
l3leaf,dc2-leaf1,Ethernet1,spine,dc2-spine1,Ethernet1,True
l3leaf,dc2-leaf1,Ethernet2,spine,dc2-spine2,Ethernet1,True
l3leaf,dc2-leaf1,Ethernet3,server,dc2-erver1,eth1,True
l3leaf,dc2-leaf2a,Ethernet1,spine,dc2-spine1,Ethernet2,True
l3leaf,dc2-leaf2a,Ethernet2,spine,dc2-spine2,Ethernet2,True
l3leaf,dc2-leaf2a,Ethernet3,mlag_peer,dc2-leaf2b,Ethernet3,True
l3leaf,dc2-leaf2a,Ethernet4,l2leaf,dc2-leaf2c,Ethernet1,True
l3leaf,dc2-leaf2a,Ethernet5,server,dc2-server2,eth1,True
l3leaf,dc2-leaf2b,Ethernet1,spine,dc2-spine1,Ethernet3,True
l3leaf,dc2-leaf2b,Ethernet2,spine,dc2-spine2,Ethernet3,True
l3leaf,dc2-leaf2b,Ethernet3,mlag_peer,dc2-leaf2a,Ethernet3,True
l3leaf,dc2-leaf2b,Ethernet4,l2leaf,dc2-leaf2c,Ethernet2,True
l3leaf,dc2-leaf2b,Ethernet5,server,dc2-server2,eth2,True
l2leaf,dc2-leaf2c,Ethernet1,l3leaf,dc2-leaf2a,Ethernet4,True
l2leaf,dc2-leaf2c,Ethernet2,l3leaf,dc2-leaf2b,Ethernet4,True
l2leaf,dc2-leaf2c,Ethernet3,server,dc2-server2,eth3,True
spine,dc2-spine1,Ethernet1,l3leaf,dc2-leaf1,Ethernet1,True
spine,dc2-spine1,Ethernet2,l3leaf,dc2-leaf2a,Ethernet1,True
spine,dc2-spine1,Ethernet3,l3leaf,dc2-leaf2b,Ethernet1,True
spine,dc2-spine1,Ethernet4,l3leaf,dc2-bl1,Ethernet1,True
spine,dc2-spine1,Ethernet5,l3leaf,dc2-bl2,Ethernet1,True
spine,dc2-spine2,Ethernet1,l3leaf,dc2-leaf1,Ethernet2,True
spine,dc2-spine2,Ethernet2,l3leaf,dc2-leaf2a,Ethernet2,True
spine,dc2-spine2,Ethernet3,l3leaf,dc2-leaf2b,Ethernet2,True
spine,dc2-spine2,Ethernet4,l3leaf,dc2-bl1,Ethernet2,True
spine,dc2-spine2,Ethernet5,l3leaf,dc2-bl2,Ethernet2,True
